Sample,GHC-856,GHC-857,GHC-858,GHC-859,88CS-GP1,GHC-843,GHC-844,1094-3,1094-5,1094-7,1094-8,1094-11,1094-14,1094-16,1094-22,1094-31,1094-36,1094-38,1094-42,GHC-898,1094-15,1094-18,1094-21,1094-26,1094-34,1094-43,1094-31,1094-31a,1094-31b,1094-45a,1094-45b,05CQR2,06DSN69,04DSN62,04DR06,04MSH7,NUN04,05DSN22,05SL10,07KW7,07DR7,ST-10,ST-9B,ST-7,ST-11,ST-6,1959,ST-5,ST-4,ST-2,ST-3B,ST-1,QS-023,QS-008,QS238,QS-071,QS-128,Tid-3,PCJ-05,PCJ-06,CJ30A,CJ30B,MP-2,MC-47,BH-4B,PV-26,TS-1,PP-7,PP-35,PV,TS-12,QS-19,TS-15,TS-16,JE-21,PP-5,MC-7,PP-8,PP-13,PP-12,PV-22,MS-02,MS-03,MC-01,MS-01,MC-F,EM-3,KMP-01,KMP-02,81JD029,81JD278,81JD013,81JD078,81JD202,86JD001,81JD279,86JD002,81JD217,81JD172,84Sg03,86JD006,PK226,PK230A,PK237B,PK221B,PK224,9EWPP-10,91SGPP-54A,97EWPP-16A,,,,,,
Reference,"Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Youngman, 1986","Sweetkind, 2011","Sweetkind, 2011","Sweetkind, 2011","Sweetkind, 2011","Sweetkind, 2011","Sweetkind, 2011","Sweetkind, 2011","Sweetkind, 2011","Sweetkind, 2011","Sweetkind, 2011","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Johnson and O'neil, 1984","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006","Kosovichev, 2006",,,,,,
Unit,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Southern Sonoma Volcanic Field and Berkeley Hills,Rhyolite Tuffs from Donnell Ranch and Moraga Volcanics,Rhyolite Tuffs from Donnell Ranch and Moraga Volcanics,Rhyolite Tuffs from Donnell Ranch and Moraga Volcanics,Rhyolite Tuffs from Donnell Ranch and Moraga Volcanics,Rhyolite Tuffs from Donnell Ranch and Moraga Volcanics,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Sonoma Volcanic Field,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Pinnacles,Pinnacles,Neenach,Neenach,Mustang Peak,Orestimba Creek,San Luis Reservoir,Llanada,Vaughn Mine,Pacheco Peak,El Toro Ranch,Panoche Valley,Vaughn Mine,Quien Sabe Volcanics,Vaughn Mine,Vaughn Mine,Silver Creek,Dowdy Ranch,Red Creek,Pacheco Peak,Pacheco Peak,PachecoPeak,Griswold Creek,Robinson Creek,Robinson Creek,Red Creek,Robinson Creek,Orestimba Creek,Eylar Mountain,Orestimba Creek,Orestimba Creek,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Quien Sabe Volcanics,Orestimba Creek,Orestimba Creek,Orestimba Creek,Orestimba Creek,Orestimba Creek,Dowdy Ranch,Dowdy Ranch,Dowdy Ranch,,,,,,
Rock Type,basalt,basalt,basalt,basalt,basalt,basaltic-andesite,basalt,basaltic-andesite,basaltic-andesite,andesite,rhyolite,basalt,rhyolite,basalt,rhyolite,rhyolite tuff,rhyolite tuff,basalt,basalt,rhyolite,andesite,andesite,basalt,basalt,rhyolite,basalt,rhyolite tuff,rhyolite tuff,rhyolite tuff,rhyolite tuff,rhyolite tuff,"Rhyolite, glass",Basaltic andesite flow,Andesitic tuff,"Lithic tuff, intracaldera","Lithic tuff, outflow",Basalt flow,Porphyritic andesite,"Fine-grained phase, Stags Leap intrusive",Peralkaline rhyolite banded,Andesite flow,Ash-flow tuff,Ash-flow tuff,Basaltic-andesite,Andesite,Ash-flow tuff,Basaltic-andesite,Andesite,Ash-flow tuff,Ash-flow tuff,Basaltic-andesite,Basaltic-andesite,Rhyodacite,Andesite,Rhyodacite,Andesite,Andesite,Dacite,Rhyolite,Dacite,Rhyolite,Rhyolite,Basalt,Basalt,Basalt,Basalt,Basaltic-andesite,Basalt,Basaltic-andesite,Basaltic-andesite,Andesite,Andesite,Andesite,Basalt,Andesite,Andesite,Andesite,Andesite,Andesite,Andesite,Andesite,Dacite,Dacite,Dacite,Dacite,Basaltic-andesite,Trachyandesite,Basaltic-andesite,Basaltic-andesite,Trachydacite,Basalt,Basaltic-andesite,Andesite,Andesite,Andesite,Andesite,Trachydacite,Trachydacite,Trachydacite,Dacite,Rhyolite,Basaltic-andesite,Andesite,Basaltic-andesite,Basaltic-andesite,Basaltic-andesite,Andesite,Andesite,Andesite,,,,,,
Element (ppm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Va,143.7,170.7,162.3,67.2,226.6,182.6,203.9,119,165.6,55.8,23.9,316.3,0,169.1,0,0,0,195.3,119,0,87.8,67.7,161.8,170.9,0,274.7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Va±,17,19.9,20.8,17.5,21.6,20,25.6,14.4,21.9,18.2,7,28.6,0,18.1,0,0,0,23.2,18.4,0,16.1,15.6,22.2,18.6,0,29.6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr,142.8,146.2,90.5,0,151.8,191.6,125.4,147.5,191.2,51.8,23,116.7,0,130.3,0,0,0,220.2,112.5,0,59.1,55.7,201,108.2,0,0,0,0,24.8,24.3,0,10,90,12,80,<10,<10,72,<10,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,236,441,471,,,,,,,,,,
Cr±,9.1,10.1,9.9,0,10.6,10.3,11.7,7.6,11.1,8.6,4.1,12.4,0,9,0,0,0,12.3,9.1,0,7.7,7.3,11.1,8.6,0,0,0,0,4.9,4.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni,51.7,44.5,24.7,3.3,64.6,122,62.4,73.9,73.5,31.8,3.2,60.4,5.2,73.6,11.2,6.7,7.2,93.5,63.8,4.8,25.9,20.4,81.3,11.7,0,3.6,6.7,15.6,15.8,14.3,10.9,10,30,<5,62,<5,<5,8,<5,9,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,91,183,202,,,,,,,,,,
Ni±,4.4,4.7,4.1,3.4,4.8,5.7,5.9,4.9,5.2,4,2.14,5.1,2.6,4.9,3,3.2,2.8,6.2,5,3.4,3.8,3.6,5.3,3.6,2.5,4.3,3.2,3.3,3.2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
