Analysis,U_ppm,Th_ppm,Pb_ppm,Th/U,206Pb_cps,206Pb_204Pb,206Pb_204Pb_1s,208Pb_232Th,208Pb_232Th_2s,207Pb_235U,207Pb_235U_2s,206Pb_238U,206Pb_238U_2s,error_corr.,238U_206Pb,238U_206Pb_2s,207Pb_206Pb,207Pb_206Pb_2s,208Pb_232Th,208Pb_232Th_2s_(Ma),208Pb_232Th_2s-sys_(Ma),207Pb_206Pb,207Pb_206Pb_2s_(Ma),207Pb_206Pb_2s-sys_(Ma),207Pb_235U,207Pb_235U_2s_(Ma),207Pb_235U_2s-sys_(Ma),206Pb_238U,206Pb_238U_2s_(Ma),206Pb_238U_2s-sys_(Ma),disc._(%),±2s_(%),P,Ti,Y,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,Ti-in-zircon_T(°C),Ce/Ce*,Eu/Eu*,?REE,(Gd/Yb)cn,Lu/Hf,Nb/Ta,Nb/U,Nb/Th,Th/U,Th/Y,Hf/Y,Nb/Yb,U/Yb,Experiment
IR22-1 L 70,1116,487,2.32,0.436,2214,110,2,0.00055,16.06953603,0.014865837,12.7451648,0.001769117,3.763068939,0.292887677,565.25,3.8,0.06094,12.2,11,1.77,1.8,637,262,262,15,1.9,1.91,11.4,0.428,0.452,24,10,517,2.36,5018,12.1,0.02,24.8,0.299,5.77,16.1,1.35,107,40.3,498,191,767,158,1244,224,5178,3.2,487,1116,665,79.61,0.1,3279.37,0.07,0.04,3.77,0.01,0.02,0.44,0.1,1.03,0.01,0.897,Zircon_07Sep22_Hodgin_1
IR22-1 L 71,1528,713,3.3,0.467,2951,114,5,0.00069,15.57521201,0.016952697,14.76418278,0.001753098,5.499387029,0.371086046,570.42,5.5,0.07013,13.7,13.9,2.17,2.21,932,281,281,17.1,2.5,2.51,11.3,0.62,0.636,33.8,10.3,472,7,7524,16.7,3.87,48.1,2.02,20.9,30.4,1.29,184,65,785,294,1166,220,1766,293,5156,3.81,713,1528,761,4.22,0.05,4879.68,0.09,0.06,4.4,0.01,0.02,0.47,0.09,0.69,0.009,0.865,Zircon_07Sep22_Hodgin_1
IR22-1 L 72,925,386,1.94,0.417,1881,240,7,0.00057,20.33736902,0.012082427,16.61812896,0.001813902,5.267528607,0.315680692,551.3,5.3,0.04831,15.8,11.5,2.33,2.36,115,372,372,12.2,2.01,2.02,11.7,0.615,0.632,4.2,16.6,234,4.93,4611,12.1,0.295,33.9,0.25,4.68,13.7,0.902,103,37.6,457,167,672,132,1035,186,5082,3.52,386,925,728,30.61,0.07,2844.16,0.08,0.04,3.43,0.01,0.03,0.42,0.08,1.1,0.012,0.894,Zircon_07Sep22_Hodgin_1
IR22-1 L 75,1010,452,2.12,0.447,2068,288,6,0.0006,18.99670541,0.013158686,14.12156646,0.001767405,3.484982272,0.244484301,565.8,3.5,0.054,13.7,12.1,2.3,2.33,371,308,308,13.3,1.86,1.87,11.4,0.396,0.421,14.2,12.4,310,3.26,6009,9.09,0.157,24.3,0.344,7.46,20.2,1.63,133,48,581,217,902,175,1426,244,5177,3.05,452,1010,692,25.67,0.1,3779.28,0.08,0.05,2.98,0.01,0.02,0.45,0.08,0.86,0.006,0.708,Zircon_07Sep22_Hodgin_1
IR22-1 L 76,1588,635,3.32,0.4,3233,480,12,0.00068,14.62289046,0.011862196,12.38882755,0.001767782,4.382838643,0.351689323,565.68,4.4,0.04867,11.6,13.7,2,2.04,132,272,273,12,1.47,1.48,11.4,0.499,0.519,4.9,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zircon_07Sep22_Hodgin_1
IR22-1 L 77,2221,1307,4.63,0.588,4341,4341,88,0.00053,10.90900056,0.010308046,11.75620185,0.001730234,5.163556953,0.437356082,577.96,5.2,0.04321,10.6,10.8,1.17,1.22,-156,262,263,10.4,1.22,1.23,11.1,0.575,0.592,-7,13.7,406,2.12,4801,28.2,,45.7,0.148,3.99,12.9,0.887,101,37.6,463,177,737,142,1134,193,5291,8.21,1307,2221,657,303.37,0.08,3047.14,0.07,0.04,3.44,0.01,0.02,0.59,0.27,1.1,0.025,1.959,Zircon_07Sep22_Hodgin_1
IR22-1 L 78,2160,1088,4.5,0.504,4234,2758,76,0.00049,11.97860968,0.011353195,11.99861003,0.001789724,3.81618295,0.315581902,558.75,3.8,0.04601,11.4,9.87,1.18,1.22,-2,274,275,11.5,1.37,1.38,11.5,0.439,0.463,-0.6,12.6,606,3.16,11082,23.6,,47.7,0.593,12.9,35.8,1.33,267,95.8,1142,409,1667,318,2515,413,5386,4.76,1088,2160,689,78.83,0.04,6925.03,0.09,0.08,4.96,0.01,0.02,0.5,0.1,0.49,0.009,0.859,Zircon_07Sep22_Hodgin_1
IR22-1 L 79,2799,2065,5.94,0.738,5375,101,2,0.00051,12.01154573,0.012073563,8.586403429,0.001689242,4.78111035,0.554068943,591.98,4.8,0.05184,7.1,10.3,1.24,1.28,278,163,164,12.2,1.04,1.05,10.9,0.52,0.538,10.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zircon_07Sep22_Hodgin_1
IR22-1 L 80,1376,591,2.83,0.429,2698,375,8,0.00065,14.04254021,0.013308845,16.78526433,0.001719848,4.083272109,0.241615884,581.45,4.1,0.05612,16.3,13.1,1.84,1.88,457,361,361,13.4,2.24,2.25,11.1,0.452,0.473,17.5,14.2,665,7.98,5471,17.8,0.463,31.7,0.361,6.84,14.2,1.13,120,42,535,212,868,170,1366,232,4980,4.94,591,1376,773,19.01,0.08,3600.05,0.07,0.05,3.59,0.01,0.03,0.43,0.11,0.91,0.013,1.008,Zircon_07Sep22_Hodgin_1
IR22-1 L 81,985,368,1.97,0.373,1806,32,1,0.00065,20.67267113,0.011551183,18.4592229,0.001712951,5.372172369,0.289890672,583.79,5.4,0.04891,17.7,13.1,2.72,2.75,143,414,415,11.7,2.14,2.15,11,0.592,0.608,5.4,18.1,321,2.44,2859,14.4,0.082,22.8,0.203,3.34,8.06,0.567,61.7,19.7,265,103,423,83.7,710,128,5897,5.25,368,985,668,43.3,0.08,1827.87,0.07,0.02,2.73,0.01,0.04,0.37,0.13,2.06,0.02,1.388,Zircon_07Sep22_Hodgin_1
