Analysis,Notes,U_ppm,Th_ppm,Pb_ppm,Th/U,206Pb_cps,206Pb_204Pb,206Pb_204Pb_1s,208Pb_232Th,208Pb_232Th_2s,207Pb_235U,207Pb_235U_2s,206Pb_238U,206Pb_238U_2s,error_corr.,238U_206Pb,238U_206Pb_2s,207Pb_206Pb,207Pb_206Pb_2s,208Pb_232Th,208Pb_232Th_2s_(Ma),208Pb_232Th_2s-sys_(Ma),207Pb_206Pb,207Pb_206Pb_2s_(Ma),207Pb_206Pb_2s-sys_(Ma),207Pb_235U,207Pb_235U_2s_(Ma),207Pb_235U_2s-sys_(Ma),206Pb_238U,206Pb_238U_2s_(Ma),206Pb_238U_2s-sys_(Ma),7/6 disc._(%),7/5 disc._(%),(%),238U*,(Ma),238U*,(Ma),P,Ti,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,Ti-in-zircon_T(°C),Ce/Ce*,Eu/Eu*,?REE,(Gd/Yb)cn,Lu/Hf,Nb/Ta,Nb/U,Nb/Th,Th/U,Th/Y,Hf/Y,Nb/Yb,U/Yb,Experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238U*,(Ma),disc.,238U*,(Ma),disc.,238U*,(Ma),disc.,,206 cps,,,,,238 cps,,,,,206 cps,238 cps,%dev,(Pb),(U),,,,,,,,,,,,,,,,,,,,
MT24-1_M_48,sweeps 23-41,757,338,1.20,0.446,2267,83.3,3.50,0.00038,15.93537949,0.00891,11.7,0.00135,4.9,0.419098498,741.36,4.9,0.04792,10.6,7.59,1.21,1.22,95.5,251,251,9.01,1.05,1.06,8.69,0.425,0.454,90.9,3.6,23.9,9.02,0.428,8.77,699,323,4.29,1591,482359,3.26,,13.4,0.071,1.45,4.16,0.228,27.8,11.4,146,57.8,271,62.0,566,94.6,10885,1.85,338,757,715,184.26,0.06,1256.06,0.04,0.01,1.77,0.00,0.01,0.45,0.21,6.84,0.005762058,1.336697491,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_48,9,0.5,91,9,0.5,91,9,0.5,91,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2267,1703517,0.00,0.84,-0.58,,,,,,,,,,,,,,,,,,,,
MT24-1_M_66,sweeps 23-41,1169,599,1.95,0.512,3667,321,8.00,0.00048,8.93094907,0.00991,7.2,0.00135,4.1,0.572607123,738.96,4.1,0.05313,5.9,9.64,0.861,0.882,334,134,134,10.0,0.719,0.743,8.72,0.360,0.394,97.4,13.0,1.1,10.0,0.359,8.64,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_66,9,0.4,97,9,0.4,97,9,0.4,97,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3667,2645112,0.00,0.83,-1.74,,,,,,,,,,,,,,,,,,,,
MT24-1_M_58,sweeps 23-41,933,432,1.59,0.463,2841,462,8.15,0.00058,13.92439973,0.01090,12.7,0.00135,3.9,0.306382962,738.38,3.9,0.05835,12.1,11.8,1.64,1.66,543,265,265,11.0,1.39,1.41,8.72,0.340,0.376,98.4,20.7,0.8,11.1,0.344,8.49,1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_58,9,0.4,98,9,0.4,98,9,0.4,98,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2841,2093232,0.00,0.84,-1.06,,,,,,,,,,,,,,,,,,,,
MT24-1_L_2,sweeps 23-41,890,338,1.41,0.380,2568,225,7.03,0.00041,11.24607842,0.00941,9.8,0.00136,4.4,0.445489682,737.38,4.4,0.05034,8.8,8.37,0.941,0.956,211,203,203,9.51,0.928,0.944,8.74,0.381,0.412,95.9,8.2,4.0,9.53,0.382,8.76,879,350,2.78,2165,493378,6.93,0.0,19.7,0.1,1.58,4.45,0.194,33.6,14.3,198,82.1,394,89.9,838,144,11893,3.46,338,890,678,128.26,0.05,1820.33,0.03,0.01,2.00,0.01,0.02,0.38,0.16,5.49,0.008267837,1.061834669,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_2,9,0.4,96,9,0.4,96,9,0.4,96,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2568,1878528,0.00,0.84,-0.80,,,,,,,,,,,,,,,,,,,,
MT24-1_L_22 z8,sweeps 23-41,1176,600,1.97,0.510,3837,273,14.5,0.00048,12.00256538,0.00963,8.1,0.00136,3.2,0.388504457,735.30,3.2,0.05134,7.5,9.63,1.16,1.17,256,172,172,9.73,0.786,0.806,8.76,0.276,0.319,96.6,9.9,2.3,9.75,0.278,8.69,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_22,9,0.3,97,9,0.3,97,9,0.3,97,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3837,2808861,0.00,0.83,-1.94,,,,,,,,,,,,,,,,,,,,
MT24-1_M_31,sweeps 23-41,846,335,1.57,0.397,2539,67.3,1.62,0.00095,18.09185773,0.01626,15.6,0.00136,2.5,0.157756238,734.30,2.5,0.08657,15.4,19.2,3.47,3.49,1351,296,297,16.4,2.53,2.54,8.77,0.215,0.268,99.4,46.4,0.1,16.5,0.253,8.09,1179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_31,9,0.3,99,9,0.3,99,9,0.3,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2539,1798505,0.00,0.84,-0.70,,,,,,,,,,,,,,,,,,,,
MT24-1_L_7,sweeps 23-41,882,408,1.44,0.462,2700,307,14.2,0.00043,10.78481316,0.00962,8.3,0.00136,4.0,0.484966405,733.52,4.0,0.05120,7.3,8.64,0.932,0.948,250,167,167,9.72,0.803,0.823,8.78,0.353,0.387,96.5,9.7,2.4,9.75,0.354,8.79,1184,417,3.33,1959,484362,4.58,0.430,21.6,0.211,2.80,5.15,0.219,34.7,13.5,186,74.5,345,76.8,700,121,11411,2.64,408,882,693,17.56,0.05,1581.66,0.04,0.01,1.74,0.01,0.01,0.46,0.21,5.83,0.00654693,1.261214719,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_7,9,0.4,96,9,0.4,97,9,0.4,96,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2700,1997219,0.00,0.84,-0.94,,,,,,,,,,,,,,,,,,,,
MT24-1_L_8,sweeps 23-41,951,455,1.55,0.478,2863,3209,67.4,0.00044,10.50478659,0.00727,11.4,0.00136,3.3,0.289357116,733.50,3.3,0.03868,10.9,8.92,0.936,0.953,-439,288,288,7.36,0.838,0.849,8.78,0.290,0.331,102.0,-19.4,1.3,7.32,0.297,8.77,1654,346,3.76,1797,469903,4.27,0.025,17.1,0.082,1.56,3.68,0.184,29.1,12.4,167,65.9,310,69.4,637,112,11422,2.61,455,951,704,93.24,0.05,1425.39,0.04,0.01,1.64,0.00,0.01,0.48,0.25,6.36,0.006700877,1.493807173,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_8,9,0.3,102,9,0.3,102,9,0.3,102,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2863,2112156,0.00,0.84,-1.08,,,,,,,,,,,,,,,,,,,,
MT24-1_M_74,sweeps 35-41,1729,1230,2.97,0.711,4843,171,2.83,0.00042,9.845835728,0.00770,9.8,0.00136,2.1,0.215563801,732.63,2.1,0.04093,9.6,8.50,0.837,0.870,-292,245,245,7.79,0.762,0.770,8.79,0.186,0.223,103.0,-12.9,2.5,7.77,0.192,8.83,2356,585,4.14,2769,465315,8.13,0.660,36.8,0.354,2.81,7.20,0.292,48.3,20.1,269,107,476,104,941,158,10938,3.96,1230,1729,712,18.70,0.05,2170.63,0.04,0.01,2.05,0.00,0.01,0.71,0.44,3.95,0.008645553,1.8387496,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_74,9,0.2,103,9,0.2,103,9,0.2,103,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4843,3319954,0.00,0.48,-2.99,,,,,,,,,,,,,,,,,,,,
MT24-1_M_57,sweeps 23-41,1589,976,2.71,0.614,5011,439,6.25,0.00044,4.901919812,0.00893,8.3,0.00137,5.0,0.595802468,731.18,5.0,0.04733,6.7,8.87,0.435,0.470,65.9,159,160,9.02,0.749,0.767,8.81,0.437,0.466,86.6,2.3,32.3,9.03,0.438,8.80,1416,555,3.54,2929,491221,8.87,0.295,35.0,0.192,2.43,7.38,0.223,55.3,21.6,286,114,514,114,1055,170,10818,4.37,976,1589,699,35.99,0.03,2374.05,0.04,0.02,2.03,0.01,0.01,0.61,0.33,3.69,0.008408497,1.506816266,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_57,9,0.5,87,9,0.5,87,9,0.5,86,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5011,3667737,0.00,0.82,-3.00,,,,,,,,,,,,,,,,,,,,
MT24-1_M_45,sweeps 23-41,971,435,1.58,0.448,2932,100,3.96,0.00042,11.76490138,0.00944,9.6,0.00137,3.5,0.367204249,729.83,3.5,0.04997,8.9,8.57,1.01,1.02,194,207,207,9.54,0.909,0.926,8.83,0.310,0.349,95.4,7.5,4.9,9.56,0.313,8.85,1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_45,9,0.3,95,9,0.3,95,9,0.3,95,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2932,2135764,0.00,0.84,-1.11,,,,,,,,,,,,,,,,,,,,
MT24-1_M_33,sweeps 23-41,577,204,0.963,0.353,1749,71.2,2.90,0.00060,18.60405031,0.01206,15.7,0.00137,4.6,0.292275733,728.68,4.6,0.06372,15.0,12.0,2.24,2.25,732,318,318,12.2,1.90,1.91,8.84,0.405,0.436,98.8,27.4,0.5,12.2,0.411,8.66,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_33,9,0.4,99,9,0.4,99,9,0.4,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1749,1284325,0.00,0.85,-0.06,,,,,,,,,,,,,,,,,,,,
MT24-1_M_70,sweeps 23-41,1112,602,1.91,0.542,3557,3988,171,0.00050,13.22205118,0.00989,7.4,0.00137,4.0,0.540082328,728.53,4.0,0.05226,6.2,10.1,1.34,1.36,297,142,142,9.99,0.733,0.756,8.84,0.352,0.387,97.0,11.5,1.4,10.0,0.351,8.72,1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_70,9,0.4,97,9,0.4,97,9,0.4,97,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3557,2592345,0.00,0.83,-1.67,,,,,,,,,,,,,,,,,,,,
MT24-1_L_25,sweeps 23-41,821,361,1.34,0.439,2635,107,4.38,0.00044,11.47088338,0.00948,8.1,0.00137,3.9,0.480883421,728.41,3.9,0.05007,7.1,8.90,1.02,1.04,198,164,164,9.58,0.768,0.787,8.84,0.342,0.378,95.5,7.7,3.7,9.60,0.343,8.84,1122,376,2.47,2670,484829,21.5,0.116,21.9,0.174,2.21,7.75,0.055,58.0,22.8,295,111,472,92.4,758,120,12269,6.13,361,821,669,37.93,0.01,1960.99,0.06,0.01,3.51,0.03,0.06,0.44,0.14,4.59,0.028390309,1.082495382,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_25,9,0.4,96,9,0.4,96,9,0.4,96,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2635,1934268,0.00,0.84,-0.86,,,,,,,,,,,,,,,,,,,,
MT24-1_M_53,sweeps 23-41,1069,548,1.78,0.513,3335,358,13.5,0.00043,10.7608921,0.01001,7.5,0.00137,4.6,0.617191099,728.30,4.6,0.05285,5.9,8.70,0.936,0.952,322,134,134,10.1,0.752,0.775,8.85,0.408,0.439,97.3,12.5,1.1,10.1,0.406,8.86,1559,322,2.92,3212,483421,6.92,0.0,24.2,0.144,3.77,9.64,0.320,67.7,25.5,333,129,568,123,1123,182,11617,2.55,548,1069,683,124.25,0.04,2590.41,0.05,0.02,2.71,0.01,0.01,0.51,0.17,3.62,0.006156899,0.951596781,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_53,9,0.4,97,9,0.4,97,9,0.4,97,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3335,2446115,0.00,0.83,-1.49,,,,,,,,,,,,,,,,,,,,
MT24-1_M_46,sweeps 23-41,1173,579,1.95,0.494,3630,152,4.33,0.00044,9.572048697,0.01002,8.4,0.00137,5.3,0.631757545,728.15,5.3,0.05292,6.5,8.96,0.858,0.876,326,148,148,10.1,0.847,0.867,8.85,0.470,0.497,97.3,12.6,1.2,10.2,0.467,8.84,1291,802,4.24,2436,487397,7.53,12.3,58.1,4.16,22.4,10.9,0.259,49.7,18.1,239,92.8,425,95.5,865,145,11246,4.08,579,1173,714,1.99,0.03,2037.43,0.05,0.01,1.85,0.01,0.01,0.49,0.24,4.62,0.00870069,1.355912557,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_46,9,0.5,97,9,0.5,97,9,0.5,97,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3630,2644025,0.00,0.83,-1.74,,,,,,,,,,,,,,,,,,,,
MT24-1_M_61,sweeps 23-41,859,308,1.45,0.359,2694,161,6.22,0.00063,13.15611499,0.01114,10.8,0.00138,3.6,0.334461942,725.64,3.6,0.05864,10.2,12.8,1.68,1.70,554,223,223,11.3,1.21,1.23,8.88,0.321,0.360,98.4,21.1,0.6,11.3,0.323,8.65,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_61,9,0.4,98,9,0.4,98,9,0.4,98,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2694,1976465,0.00,0.84,-0.92,,,,,,,,,,,,,,,,,,,,
MT24-1_M_52,sweeps 23-41,1166,592,2.02,0.507,3593,129,3.28,0.00052,7.551876665,0.01190,9.5,0.00138,4.1,0.430595594,723.13,4.1,0.06240,8.6,10.6,0.798,0.826,688,182,183,12.0,1.13,1.15,8.91,0.363,0.398,98.7,25.8,0.3,12.1,0.361,8.77,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_52,9,0.4,99,9,0.4,99,9,0.4,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3593,2589972,0.00,0.83,-1.67,,,,,,,,,,,,,,,,,,,,
MT24-1_M_35,sweeps 23-41,1015,503,1.70,0.496,3132,3132,195,0.00044,13.09611038,0.01019,11.4,0.00138,4.6,0.406687377,722.55,4.6,0.05339,10.4,8.95,1.17,1.19,345,236,236,10.3,1.17,1.19,8.92,0.414,0.445,97.4,13.4,1.8,10.3,0.415,8.91,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_35,9,0.4,97,9,0.4,97,9,0.4,97,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3132,2256231,0.00,0.84,-1.26,,,,,,,,,,,,,,,,,,,,
MT24-1_L_20,sweeps 35-41,790,362,1.35,0.458,2163,61.0,7.18,0.00057,15.67746067,0.00919,24.6,0.00138,8.1,0.330220144,722.28,8.1,0.04816,23.2,11.6,1.82,1.85,107,548,548,9.29,2.27,2.28,8.92,0.723,0.734,91.7,4.0,42.5,9.30,0.733,8.71,1603,486,2.41,2447,432183,2.91,3.09,25.9,1.25,8.11,8.88,0.140,48.1,18.2,237,94.1,423,90.4,848,136,11162,1.67,362,790,667,3.22,0.02,1942.00,0.05,0.01,1.74,0.00,0.01,0.46,0.15,4.56,0.003437308,0.931840203,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_20,9,0.7,92,9,0.7,92,9,0.7,92,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2163,1446802,0.00,0.50,-0.70,,,,,,,,,,,,,,,,,,,,
MT24-1_L_12 z6,sweeps 23-41,4086,5863,8.53,1.43,13267,445,21.1,0.00044,3.857447911,0.00915,3.6,0.00138,2.3,0.636995245,722.14,2.3,0.04793,2.8,8.95,0.345,0.389,95.6,66.6,66.9,9.25,0.336,0.376,8.92,0.207,0.263,90.7,3.6,6.5,9.26,0.207,8.91,5337,924,7.64,13640,472332,21.7,0.244,160,2.44,40.6,75.4,5.42,357,126,1483,540,2205,462,3942,644,7919,5.92,5863,4086,769,50.70,0.10,10044.39,0.08,0.08,3.67,0.01,0.00,1.43,0.43,0.58,0.005517927,1.036714706,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_12,9,0.3,91,9,0.3,91,10,0.3,90,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13267,9501943,0.00,0.73,-10.18,,,,,,,,,,,,,,,,,,,,
MT24-1_L_24,sweeps 23-41,832,338,1.49,0.407,2656,97.6,2.97,0.00073,10.8599909,0.01516,8.9,0.00138,4.2,0.46885526,722.07,4.2,0.07940,7.9,14.8,1.61,1.63,1182,156,156,15.3,1.35,1.38,8.92,0.373,0.406,99.2,41.6,0.1,15.4,0.364,8.53,1028,1310,4.27,1884,501408,5.42,26.7,86.2,9.57,48.1,16.1,0.320,40.3,14.0,177,67.8,326,72.8,681,118,11993,2.94,338,832,715,1.32,0.04,1683.52,0.05,0.01,1.84,0.01,0.02,0.41,0.18,6.37,0.007950175,1.221531516,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_24,9,0.4,99,9,0.4,99,9,0.4,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2656,1938690,0.00,0.84,-0.87,,,,,,,,,,,,,,,,,,,,
MT24-1_L_11,sweeps 23-41,995,504,1.68,0.506,3088,877,30.6,0.00047,14.3893097,0.00946,8.4,0.00139,4.0,0.475983528,721.00,4.0,0.04945,7.4,9.50,1.37,1.38,169,173,173,9.56,0.801,0.820,8.93,0.358,0.393,94.7,6.5,5.4,9.57,0.359,8.89,1621,690,3.37,1988,466909,5.11,8.80,43.2,3.16,15.8,8.36,0.203,38.8,14.8,195,76.6,355,79.1,718,123,11111,2.86,504,995,694,2.01,0.03,1680.49,0.04,0.01,1.78,0.01,0.01,0.51,0.25,5.59,0.007109196,1.385062169,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_11,9,0.4,95,9,0.4,95,9,0.4,95,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3088,2257240,0.00,0.84,-1.26,,,,,,,,,,,,,,,,,,,,
MT24-1_M_39,sweeps 23-41,1853,1256,3.23,0.678,5715,1622,75.2,0.00043,4.563884466,0.00849,7.6,0.00139,3.2,0.419009056,720.57,3.2,0.04439,6.9,8.76,0.400,0.436,-89,169,169,8.59,0.650,0.669,8.94,0.285,0.328,110.1,-4.1,19.2,8.58,0.287,8.96,1880,515,3.48,3000,484732,9.62,0.570,37.9,0.298,3.64,7.84,0.236,56.2,22.6,294,116,534,116,1045,174,11257,4.81,1256,1853,697,22.56,0.03,2407.23,0.04,0.02,2.00,0.01,0.01,0.68,0.42,3.75,0.009205023,1.773051029,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_39,9,0.3,110,9,0.3,110,9,0.3,110,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5715,4115079,0.00,0.81,-3.55,,,,,,,,,,,,,,,,,,,,
MT24-1_L_19,sweeps 23-41,1020,540,1.72,0.529,3093,502,19.6,0.00043,9.385773423,0.00890,12.0,0.00139,5.4,0.451173812,718.18,5.4,0.04638,10.7,8.65,0.811,0.830,17.3,256,256,9.00,1.07,1.08,8.97,0.483,0.510,48.3,0.3,764.0,9.00,0.487,9.00,1091,369,3.29,1830,479124,4.99,,18.8,0.07,1.43,4.15,0.158,30.7,12.8,171,68.1,316,72.0,665,113,11097,2.69,540,1020,692,262.23,0.04,1472.43,0.04,0.01,1.86,0.00,0.01,0.53,0.29,6.06,0.007502758,1.533946802,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_19,9,0.5,48,9,0.5,49,9,0.5,48,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3093,2252803,0.00,0.84,-1.26,,,,,,,,,,,,,,,,,,,,
MT24-1_M_68,sweeps 23-41,533,219,0.888,0.411,1736,152,7.81,0.00050,12.72649671,0.00890,12.7,0.00140,4.1,0.327187791,716.46,4.1,0.04624,12.0,10.1,1.29,1.31,10.3,288,288,9.00,1.14,1.15,8.99,0.373,0.407,12.6,0.1,2449.1,9.00,0.378,8.91,510,277,3.03,1781,489261,4.58,0.006,9.24,0.099,2.29,5.42,0.134,39.5,14.2,180,69.4,303,66.1,587,95.3,12616,2.46,219,533,685,94.35,0.03,1371.83,0.06,0.01,1.86,0.01,0.02,0.41,0.12,7.08,0.007801834,0.907887994,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_68,9,0.4,13,9,0.4,13,9,0.4,13,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1736,1250237,0.00,0.85,-0.02,,,,,,,,,,,,,,,,,,,,
MT24-1_L_15,sweeps 23-41,449,222,0.784,0.494,1431,74.1,3.60,0.00057,11.5163592,0.00773,14.7,0.00141,4.6,0.311531215,709.85,4.6,0.03982,14.0,11.6,1.33,1.35,-363,363,363,7.82,1.15,1.16,9.07,0.416,0.448,102.5,-16.0,2.5,7.80,0.425,8.87,1374,270,8.92,1637,478145,0.842,,7.34,0.05,0.947,2.95,0.848,21.9,9.48,136,58.0,287,66.6,657,117,9398,0.413,222,449,785,143.63,0.32,1365.16,0.03,0.01,2.04,0.00,0.00,0.49,0.14,5.74,0.001282067,0.683209685,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_15,9,0.4,103,9,0.4,102,9,0.4,102,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1431,1036905,0.00,0.85,0.24,,,,,,,,,,,,,,,,,,,,
MT24-1_M_64 z3,sweeps 23-41,1235,696,2.14,0.564,3917,130,4.99,0.00045,11.20529236,0.00934,10.4,0.00141,4.1,0.388407762,709.46,4.1,0.04806,9.6,9.05,1.01,1.03,102,227,228,9.44,0.981,0.996,9.08,0.368,0.403,91.1,3.8,19.7,9.45,0.371,9.08,1407,448,4.49,2985,495324,7.49,0.015,32.5,0.167,2.81,7.56,0.475,52.6,21.6,282,106,478,108,981,161,10216,3.72,696,1235,719,158.47,0.07,2234.04,0.04,0.02,2.02,0.01,0.01,0.56,0.23,3.42,0.007638941,1.2582776,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_64,9,0.4,91,9,0.4,91,9,0.4,91,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3917,2780052,0.00,0.83,-1.91,,,,,,,,,,,,,,,,,,,,
MT24-1_L_4,sweeps 23-41,815,357,1.42,0.439,2421,81.1,4.19,0.00055,11.41770361,0.01187,9.7,0.00142,4.9,0.504412712,706.60,4.9,0.06084,8.4,11.1,1.27,1.29,634,180,180,12.0,1.15,1.17,9.12,0.444,0.474,98.6,23.9,0.4,12.0,0.440,8.97,1214,962,3.04,2726,473333,5.60,15.9,55.3,5.99,29.7,13.1,0.156,57.8,20.7,257,99.3,470,95.3,846,142,12694,2.56,357,815,686,1.39,0.02,2108.07,0.06,0.01,2.19,0.01,0.02,0.44,0.13,4.66,0.006625919,0.963392085,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_4,9,0.5,99,9,0.5,99,9,0.5,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2421,1756954,0.00,0.84,-0.65,,,,,,,,,,,,,,,,,,,,
MT24-1_L_26,sweeps 23-41,781,347,1.41,0.445,2488,177,7.11,0.00065,10.18556106,0.01318,13.1,0.00142,4.5,0.34100377,704.81,4.5,0.06736,12.3,13.1,1.33,1.36,849,256,256,13.3,1.73,1.75,9.14,0.408,0.440,98.9,31.2,0.3,13.4,0.408,8.85,1059,2611,4.08,2835,488713,4.50,76.9,205,27.4,139,43.2,0.567,94.9,28.2,316,114,487,98.7,857,138,13086,2.28,347,781,711,1.09,0.03,2625.67,0.09,0.01,1.98,0.01,0.01,0.44,0.12,4.62,0.005250124,0.911132835,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_26,9,0.4,99,9,0.4,99,9,0.4,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2488,1771684,0.00,0.84,-0.66,,,,,,,,,,,,,,,,,,,,
MT24-1_M_38,sweeps 30-41,1531,872,2.63,0.570,4750,160,3.89,0.00042,9.796858119,0.00853,14.1,0.00142,3.6,0.258453531,704.71,3.6,0.04357,13.6,8.49,0.832,0.857,-135,336,336,8.62,1.21,1.21,9.14,0.332,0.356,106.8,-6.0,16.9,8.61,0.340,9.20,1666,475,3.29,2659,475405,8.53,0.479,33.4,0.226,2.38,6.62,0.213,47.6,19.0,254,101,473,105,938,165,11464,4.29,872,1531,692,24.88,0.04,2145.20,0.04,0.01,1.99,0.01,0.01,0.57,0.33,4.31,0.009094119,1.632012489,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_38,9,0.4,107,9,0.4,107,9,0.4,107,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4750,3197061,0.00,0.38,-2.22,,,,,,,,,,,,,,,,,,,,
