Analysis,Notes,U_ppm,Th_ppm,Pb_ppm,Th/U,206Pb_cps,206Pb_204Pb,206Pb_204Pb_1s,208Pb_232Th,208Pb_232Th_2s,207Pb_235U,207Pb_235U_2s,206Pb_238U,206Pb_238U_2s,error_corr.,238U_206Pb,238U_206Pb_2s,207Pb_206Pb,207Pb_206Pb_2s,208Pb_232Th,208Pb_232Th_2s_(Ma),208Pb_232Th_2s-sys_(Ma),207Pb_206Pb,207Pb_206Pb_2s_(Ma),207Pb_206Pb_2s-sys_(Ma),207Pb_235U,207Pb_235U_2s_(Ma),207Pb_235U_2s-sys_(Ma),206Pb_238U,206Pb_238U_2s_(Ma),206Pb_238U_2s-sys_(Ma),7/6 disc._(%),7/5 disc._(%),(%),238U*,(Ma),238U*,(Ma),P,Ti,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,Ti-in-zircon_T(°C),Ce/Ce*,Eu/Eu*,?REE,(Gd/Yb)cn,Lu/Hf,Nb/Ta,Nb/U,Nb/Th,Th/U,Th/Y,Hf/Y,Nb/Yb,U/Yb,Experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238U*,(Ma),disc.,238U*,(Ma),disc.,238U*,(Ma),disc.,,206 cps,,,,,238 cps,,,,,206 cps,238 cps,%dev,(Pb),(U),,,,,,,,,,,,,,,,,,,,
MT24-1_L_14,sweeps 30-41,621,190,0.932,0.307,1758,1134,34.9,0.00036,22.64617259,0.00961,10.4,0.00132,4.9,0.472682275,756.34,4.9,0.05271,9.2,7.21,1.63,1.64,317,209,209,9.71,1.01,1.02,8.52,0.419,0.436,97.3,12.3,1.8,9.74,0.419,8.58,531,344,2.78,1494,471888,5.11,0.109,11.4,0.123,1.24,2.80,0.097,21.1,9.26,130,54.4,263,61.6,602,108,11741,2.57,190,621,678,24.07,0.04,1265.38,0.03,0.01,1.99,0.01,0.03,0.31,0.13,7.86,0.008480719,1.031179808,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_14,9,0.4,97,8,0.4,97,9,0.4,97,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1758,1262774,0.00,0.39,-0.32,,,,,,,,,,,,,,,,,,,,
MT24-1_M_30,sweeps 23-41,749,321,1.15,0.429,2076,589,21.9,0.00035,15.98902648,0.00914,11.8,0.00132,5.0,0.421337342,755.06,5.0,0.05006,10.7,7.11,1.14,1.15,198,249,249,9.24,1.09,1.10,8.53,0.424,0.452,95.7,7.7,5.4,9.26,0.426,8.63,920,346,2.58,2499,501740,4.48,0.964,15.3,0.466,3.56,8.31,0.171,50.6,19.9,254,97.9,445,91.8,811,140,13002,2.34,321,749,672,5.58,0.03,1939.05,0.05,0.01,1.91,0.01,0.01,0.43,0.13,5.20,0.005521163,0.923713809,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_30,9,0.5,96,8,0.5,96,9,0.5,96,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2076,1566381,0.00,0.85,-0.41,,,,,,,,,,,,,,,,,,,,
MT24-1_M_29,sweeps 23-41,812,259,1.23,0.319,2346,666,17.7,0.00041,10.30381478,0.00799,11.0,0.00133,3.8,0.346329597,754.56,3.8,0.04371,10.4,8.32,0.857,0.873,-127,256,256,8.08,0.889,0.901,8.54,0.326,0.361,106.7,-5.7,13.6,8.07,0.331,8.55,361,342,3.32,2015,493252,7.19,,16.2,0.050,1.19,3.60,0.155,28.6,12.3,176,76.0,372,86.0,845,153,11115,3.10,259,812,693,317.38,0.05,1769.77,0.03,0.01,2.32,0.01,0.03,0.32,0.13,5.52,0.008508424,0.961279529,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_29,9,0.4,107,8,0.4,107,9,0.4,107,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2346,1778562,0.00,0.84,-0.67,,,,,,,,,,,,,,,,,,,,
MT24-1_M_43,sweeps 23-41,121,40.0,0.200,0.330,370,11.0,0.588,0.00075,33.33775675,0.00981,20.7,0.00133,7.7,0.372175423,752.55,7.7,0.05352,19.2,15.2,5.06,5.07,351,434,434,9.91,2.04,2.05,8.56,0.659,0.677,97.6,13.6,3.0,9.94,0.662,8.20,837,264,16.0,762,493038,0.756,0.005,1.54,0.048,1.17,2.76,0.080,17.6,6.36,74.3,27.5,121,27.0,248,42.0,9182,0.503,40.0,121,847,23.53,0.04,569.43,0.06,0.00,1.50,0.01,0.02,0.33,0.05,12.05,0.00305319,0.48965568,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_43,9,0.7,98,8,0.7,98,8,0.7,98,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370,265224,0.00,0.86,1.19,,,,,,,,,,,,,,,,,,,,
MT24-1_M_56,sweeps 35-41,1296,805,2.09,0.621,3601,3601,405,0.00038,10.89771394,0.00704,16.2,0.00133,7.5,0.461320238,752.31,7.5,0.03839,14.4,7.65,0.833,0.860,-458,380,380,7.12,1.15,1.16,8.56,0.640,0.651,101.9,-20.3,1.6,7.09,0.650,8.66,1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_56,9,0.7,102,9,0.7,102,9,0.7,102,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3601,2496911,0.00,0.49,-1.98,,,,,,,,,,,,,,,,,,,,
MT24-1_M_28,sweeps 23-41,701,277,1.16,0.396,1976,225,5.55,0.00063,15.91012876,0.01121,12.9,0.00133,5.1,0.397417304,751.98,5.1,0.06112,11.8,12.7,2.02,2.03,643,254,254,11.3,1.45,1.46,8.57,0.438,0.465,98.7,24.3,0.5,11.4,0.437,8.30,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_28,9,0.5,99,8,0.5,99,9,0.5,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1976,1495729,0.00,0.85,-0.32,,,,,,,,,,,,,,,,,,,,
MT24-1_M_73,sweeps 23-41,1070,509,1.75,0.476,3315,77.1,1.64,0.00047,9.255906766,0.00935,11.2,0.00134,4.3,0.379447659,746.76,4.3,0.05064,10.4,9.53,0.882,0.902,224,240,240,9.45,1.05,1.07,8.63,0.367,0.399,96.2,8.7,4.1,9.47,0.369,8.55,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_73,9,0.4,96,9,0.4,96,9,0.4,96,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3315,2488446,0.00,0.83,-1.55,,,,,,,,,,,,,,,,,,,,
MT24-1_M_75,sweeps 23-41,865,380,1.66,0.440,2639,75.2,1.53,0.00098,4.400953416,0.02038,6.8,0.00134,3.3,0.480344767,744.06,3.3,0.10997,6.0,19.9,0.874,0.960,1799,109,109,20.5,1.38,1.43,8.66,0.284,0.325,99.5,57.7,0.0,20.7,0.272,7.84,1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_75,9,0.3,100,9,0.3,100,9,0.3,100,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2639,1929589,0.00,0.84,-0.86,,,,,,,,,,,,,,,,,,,,
MT24-1_M_42 z9,sweeps 35-41,1213,639,2.09,0.527,3376,79.2,2.33,0.00054,14.64156353,0.01184,14.1,0.00135,6.3,0.443060134,742.10,6.3,0.06370,12.7,11.0,1.60,1.63,732,268,269,11.9,1.68,1.69,8.68,0.543,0.556,98.8,27.3,0.4,12.0,0.538,8.48,1472,363,5.78,2162,443703,7.53,0.243,24.2,0.227,2.38,5.10,0.376,37.4,15.5,210,79.8,376,81.3,755,129,10230,3.40,639,1213,742,25.20,0.08,1716.91,0.04,0.01,2.21,0.01,0.01,0.53,0.30,4.73,0.009971827,1.607161228,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_42,9,0.6,99,9,0.6,99,9,0.6,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3376,2337487,0.00,0.49,-1.79,,,,,,,,,,,,,,,,,,,,
MT24-1_L_21,sweeps 23-41,623,248,0.985,0.398,1893,86.3,3.85,0.00043,13.50699875,0.00837,10.9,0.00135,4.0,0.370265239,741.45,4.0,0.04502,10.1,8.70,1.17,1.19,-54,247,247,8.47,0.920,0.933,8.69,0.351,0.385,116.0,-2.6,72.4,8.46,0.355,8.69,886,289,3.20,1533,480816,3.56,,13.3,0.088,1.36,3.55,0.176,25.0,10.6,139,57.5,270,61.4,556,95.8,11069,1.81,248,623,690,147.98,0.06,1233.32,0.04,0.01,1.97,0.01,0.01,0.40,0.16,7.22,0.006411207,1.121536168,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_21,9,0.4,116,9,0.4,116,9,0.4,116,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1893,1418732,0.00,0.85,-0.23,,,,,,,,,,,,,,,,,,,,
